epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
54,342.219,1.06698,0.72745,1.02783,0.96219,0.96254,0.98182,0.75994,0.87953,0.55015,0.95565,0.000722372,0.000722372,0.000722372
55,349.172,1.03549,0.69776,1.00255,0.99304,0.95804,0.98582,0.73817,0.96874,0.54997,0.96928,0.00071504,0.00071504,0.00071504
56,356.141,1.03328,0.7061,1.02065,0.97025,0.9794,0.98597,0.67806,1.17405,0.58333,1.03124,0.000707707,0.000707707,0.000707707
57,363.033,1.05184,0.70552,1.0214,0.98488,0.96846,0.98506,0.73628,0.9483,0.54737,0.97211,0.000700374,0.000700374,0.000700374
58,369.961,1.00917,0.68563,0.99167,0.9724,0.97052,0.98571,0.77167,0.84608,0.53197,0.94639,0.000693042,0.000693042,0.000693042
59,376.886,0.99066,0.68956,1.00662,0.9786,0.98053,0.98594,0.78532,0.82465,0.5207,0.94043,0.000685709,0.000685709,0.000685709
60,383.875,1.00369,0.67314,1.012,0.98071,0.92122,0.98232,0.74908,0.92063,0.58452,0.96332,0.000678377,0.000678377,0.000678377
61,390.782,0.99403,0.6858,0.9709,0.98247,0.95502,0.98397,0.77051,0.86092,0.53475,0.94644,0.000671044,0.000671044,0.000671044
62,397.679,0.99454,0.69424,1.00212,0.94537,0.9645,0.97374,0.7604,0.8509,0.55872,0.94556,0.000663711,0.000663711,0.000663711
63,404.578,1.00995,0.7004,1.00538,0.98066,0.96705,0.98454,0.75727,0.87469,0.55495,0.95258,0.000656379,0.000656379,0.000656379
64,411.475,0.99134,0.67304,0.99162,0.97735,0.97165,0.98453,0.77143,0.78714,0.51807,0.94064,0.000649046,0.000649046,0.000649046
65,418.427,0.99466,0.68321,1.00502,0.98148,0.96864,0.98614,0.69405,1.12432,0.56156,1.03178,0.000641714,0.000641714,0.000641714
66,425.329,1.00642,0.67252,0.98791,0.96907,0.96325,0.9849,0.74431,0.90099,0.55779,0.96635,0.000634381,0.000634381,0.000634381
67,432.181,1.03151,0.6971,1.00071,0.95439,0.97811,0.97815,0.7125,0.97501,0.53498,0.97318,0.000627048,0.000627048,0.000627048
68,438.976,1.01502,0.67546,1.00583,0.96756,0.96476,0.98014,0.7441,0.87405,0.56446,0.95708,0.000619716,0.000619716,0.000619716
69,445.903,0.97036,0.65739,0.98516,0.95805,0.95894,0.98456,0.76136,0.88555,0.51852,0.95401,0.000612383,0.000612383,0.000612383
70,452.908,0.97742,0.64171,0.99127,0.97287,0.96643,0.98468,0.72227,0.98289,0.52919,0.96817,0.000605051,0.000605051,0.000605051
71,459.784,0.95785,0.66108,0.98824,0.96661,0.96279,0.98481,0.73761,0.93206,0.5305,0.95984,0.000597718,0.000597718,0.000597718
72,466.733,0.95795,0.6524,0.99187,0.98763,0.95999,0.98309,0.70816,1.00154,0.52657,0.97484,0.000590385,0.000590385,0.000590385
73,473.617,0.95577,0.62087,0.97479,0.98794,0.95414,0.98554,0.76196,0.83444,0.50107,0.94555,0.000583053,0.000583053,0.000583053
74,480.578,1.00924,0.6713,0.98903,0.96693,0.97807,0.9833,0.6744,1.12126,0.55671,1.02083,0.00057572,0.00057572,0.00057572
